Nama_Animal,Cara Berkembangbiak,Makanan,Habitat,Berbahaya,115
Antelope,Melahirkan,"Rumput, Daun, dan Tunas Tumbuhan","Padang rumput, sabana, atau hutan terbuka",Yes,
Badger,Melahirkan,Hewan omnivora,"Hutan, padang rumput, daerah pedesaan Eropa dan sebagian Asia",No,
Bat,Melahirkan,Serangga,"Gua, hutan, hutan bakau, padang rumput dan perkotaan.",No,
Bear,Melahirkan,Pemakan segala,"Hutan di Emerka Utara, Eropa, dan Asia dan juga pegunungan didaerah Kutup.",Yes,
Bee,Bertelur,Nektar dan serbuk sari bunga,"Sarang-sarang besar, sarang didalam tanah, dindinh bahkan lubang pohon.",Yes,
Beetle,Bertelur,"Tumbuhan, Detritus, Serangga ","Hutan, padang rumput, pegunugan, gurun, sungai, danau.",No,
Bison,Melahirkan,Herbivora (rumput dan vegetasi),Amerika Serikat,Yes,
Boar,Melahirkan,Pemakan segala,"Hutan-hutan, semak belukar, daerah bersemak, dan padang rumput.",Yes,
Butterfly,Bertelur,Nektar bunga,"Hutan, padang rumput, taman, tumbuhan berbunga, daerah berkebun.",No,
Cat,Melahirkan,Daging,"Pemukiman manusia, dikota-kota, desa-desa, dan daerah pedesaan.",No,
Caterpillar,Bertelur,Dedaunan,"Hutan, padang rumput, taman, perkotaan.",No,
Chimpanzee,Melahirkan,Pemakan segala,Hutan,Yes,
Cockroach,Bertelur,Pemakan segala,"Ditempat lembab, sempit dan area yang gelap",Yes,
Cow,Melahirkan,Tumbuhan,Pedesaan dan peternakan,No,
Coyote,Melahirkan,Pemakan segala namun cenderung memakan daging.,"Padang rumput, gurun, hutan, pegunungan,perkotaan.",No,
Crab,Bertelur,Pemakan segala,"Perairan, pantai berbatu, estuari, hutan mangrove, dan terumbu karang, sungai, danau, rawa-rawa.",No,
Crow,Bertelur,"Biji-biajian, Buah-buahan, Seranggga,Cacing, Bangkai","Hutan, Taman kota, Lahan pertanian, padang rumput, Perkotaan.",No,
Deer,Melahirkan,Tumbuhan,"HUtan, padang rumput, pegunungan, dataran rendah.",No,
Dog,Melahirkan,Pemakan segala,"Perkotaan, perdesaat, linkungan terbuka dan biasanya dirumah-rumah menjadi hewan peliharaan. ",Yes,
Dolphin,Melahirkan,Ikan dan hewan kecil,"lautan, laut dangkal, esturi, dan sungai",No,
Donkey,Melahirkan,Tumbuhan,"Peternakan, pertanian, pedesaan.",No,
Dragonfly,Bertelur,Serangga kecil,air tawar,No,
Duck,Bertelur,Pemakan segala (omnivora),"Danau, sungai, rawa-rawa, dan kolam",No,
Eagle,Melahirkan,"Hewan lain seperti burung, ikan, dan juga reptil.","Pegunungan, hutan, padang rumput, pesisir.",No,
Elephant,Melahirkan,Tumbuhan,"Hutan tropis, sabana, padang rumput, dan gurun.",No,
Flamingo,Bertelur,Plankton dan organisme kecil lainnya,"Danau, laguna, rawa, atau esturi.",No,
Fly,Bertelur,"Nektar, air, sari buah yang busuk","Tempat sampah, kotora ternak, dan sumber makanan lain yang mudah dijangkau.",No,
Fox,Melahirkan,"Hewan kecil seperti tikus, kelinci, burung, dan serangga","Hutan, padang rumput, gurun, daerah perkotaan",No,
Goat,Melahirkan,"Rumput, dedaunan, dan cabang-cabang pohon.","Pengunungan, padang rumput, gurun.",No,
Goldfish,Bertelur,"Pelet ikan, dan serbuk makanan ikan.","Air tawar(Aquarium, kolam dan danau.)",No,
Goose,Bertelur,"Tumbuhan seperti rumput, dedaunan, biji-bijian, dan tanaman air","Danau, rawa, sungai, pesisir pantai.",No,
Gorilla,Melahirkan,Tumbuhan,"Hutan-hutan tropis dan subtopis di Afrika (Hutan hujan, hutan bambu, hutan rawa-rawa)",No,
Grasshopper,Bertelur,Tumbuhan terutama dedaunan,"Padang rumput, hutan, dan lahan pertanian",No,
Hamster,Melahirkan,Biji-bijian dan sayuran segar,Padang rumput dan gurun di Asia dan Eropa,No,
Hare,Melahirkan,Tumbuhan,"Padang rumput, hutan terbuka, dan lahan pertanian",No,
Hedgedog,Melahirkan,"Serangga, cacing dan hewan kecil lainnya","Hutan, semak belukar, taman, dan daerah pedesaan",No,
Hippopotamus,Melahirkan,Tumbuhan air ,"Sungai, danau, rawa, dan kolam air tawar di Afrika",Yes,
Hornbill,Bertelur,"Buah-buahan, biji-bijian, serangga, dan hewan kecil.","Hutan hujan tropis, hutan dataran rendah, daerah terbuka",No,
Horse,Melahirkan,Rumput dan tumbuhan serupa,"Padang rumput alami, peternakan",No,
Hummingbird,Bertelur,Nektar bungan dan serangga kecil,"Hutan, pegununganm padang rumput, taman, dan kebun",No,
Hyena,Melahirkan,"Omnivora (Daging, serangga, tumbuhan, dan bangkai)","Savana, hutan, daerah bersemak",Yes,
Jellyfish,,Plankton dan makanan kecil lainnya diperairan laut,Perairan air asin,Yes,
Kangaroo,Melahirkan,Tumbuhan terutama rumput dan daun,Padang rumput daerah terbuka di australia.,No,
Koala,Melahirkan,Daun eucalyptus,Hutan eucalyptus di Australia,Yes,
Ladybugs,Bertelur,Serangga kecil seperti kutu daun dan hama lainnya,"Kebun, padang rumput, hewan, hutan, dan taman",No,
Leopard,Melahirkan,Karnivora (pemakan daging),"Hutan, Hutan belantara, sabana, pegunungan, dan daerah semak",Yes,
Lion,Melahirkan,Daging ,Savana dan hutan,Yes,
Lizard,Bertelur,"Serangga, tumbuhan, hewan kecil dan burung","Gurun, padang rumput, hutan atau lingkungan air",Yes,
Lobster,Bertelur,"Pemakan segala seperti kerang, kerang ragi, udang, rumput laut, sisa organik dan lainya","Air Laut, dasar laut dan sekitar karang",No,
Mosquito,Bertelur,Nektar bunga dan darah,"Daerah lembab, berair dan mengandung vegetasi",No,
Moth,Bertelur,"Daun, nektar, serbuk sari","Hutan, padang rumput, perkotaan",No,
Mouse,Melahirkan,"Omnivora seperti  biji-bijian, buah-buahan, sayuran, serangga, cacing.","Ladang, hutan, semak belukan, rumah dan gedung",No,
Octopus,Bertelur,"Karnivora seperti ikan, krustasea, moluska kecil, dan jenis-jenis cephalopoda lainnya.","Habitat laut seperti terumbu karang, dasar laut berpasir/berlumpur, dan laut terbuka",No,
Okapi,Melahirkan,"Daun, tunas, buah-buahan, dan tanaman lainnya",Hutan hujan kongo di Afrika,No,
Orangutan,Melahirkan,"Buah-buahan, Dedaunan, Bunga, Kulit kayu, serangga, madu dan telur burung.",Huta hujan dipulau Kalimantan dan Sumatera,No,
Otter,Melahirkan,Ikan dan hewan air lainnya,Air tawar dan Laut,No,
Owl,Bertelur,"Hewan kecil seperti tikus, kelinci dan burung kecil.","Hutan, hutan belukar, padang rumput, gurun, dan daerah pedesaan.",No,
Ox,Melahirkan,"Rumput, hijauan, dan tanaman lainnya",Padang rumput dan daerah yang cocok untuk pertanian,No,
Oyster,Bertelur,Plankton kecil,Perairan asin(Laut),No,
Panda,Melahirkan,Bambu,Hutan dan pegunungan,No,
Parrot,Bertelur,"Biji-bijian, Buah-buahan, nektar dan serangga",Membangun sarang dilubang pohon atau membangun sarang di tebing atau bahkan tanah,Yes,
Pelecaniformes,Bertelur,Ikan dan hewan kecil,"Danau, lautan, sungai, wilayah pesisir",No,
Penguin,Bertelur,"Ikan, Krill dan cumi-cumi","Belahan bumi selatan, terutama di Antartika, tetapi juga di Selandia Baru, Australia, Amerika Selatan, dan kepulauan sub-Antartika.",No,
Pig,Melahirkan,"Sayuran, Buah-buahan, biji-bijian dan hewan kecil.",Hutan dan dataran berumput ,No,
Pigeon,Bertelur,"Biji-bijian, buah-buahan, dan sayuran.","Kota, daerah pinggiran kota, dan lahan pertanian.",No,
Porcupine,Melahirkan,"Daun, kulit kayu, batang, dan tumbuhan.","Hutan, gurun, padang rumput, dan pegunungan",No,
Possum,Melahirkan,"Buah-buahan, serangga kecil, dan sampah","Hutan, daerah perkotaan.",No,
Raccoon,Melahirkan,"Buah-buahan, kacang-kacangan, serangga, mamalia kecil, dan telur burung","hutan, lahan basah, dan daerah perkotaan di seluruh Amerika Utara dan Tengah.",Yes,
Rat,Melahirkan,"Biji-bijian, sayuran, buah-buahan, daging, dan bahan-bahan organik.","Daerah perkotaan, lahan pertanian, hutan, dan lahan basah, dan mereka sering tinggal di liang atau bangunan.",Yes,
Reindeer,Melahirkan,"Vegetasi, seperti rerumputan, alang-alang, dan lumut.","Tundra, hutan taiga, dan pegunungan",No,
Rhinoceros,Melahirkan,"Rumput, daun, cabang, dan buah-buahan","Hutan, padang rumput, dan sabana.",Yes,
Sandpiper,Bertelur,"krustasea, molluska, dan cacing","ir tawar dan pasang surut seperti pantai, rawa, dan muara sungai.",No,
Seahorse,Melahirkan,plankton dan ikan kecil," terumbu karang, padang lamun, dan hutan mangrove di perairan tropis dan subtropis",No,
Seal,Melahirkan,"ikan, krill, cumi-cumi, dan jenis makanan laut lainnya","wilayah es laut seperti Antartika, Kanada, dan Norwegia, serta perairan terbuka di seluruh dunia",Yes,
Shark,Melahirkan,"ikan, cumi-cumi, plankton, dan hewan laut kecil seperti udang dan kepiting","laut dalam, terumbu karang, dan pantai yang datar atau berbatu.",No,
Sheep,Melahirkan,"Jerami, rumput, dan tanaman lainnya","padang rumput, pegunungan, dan gurun.",No,
Snake,Melahirkan dan Bertelur,hewan kecil seperti tikus dan burung serta beberapa spesies membunuh dan memakan ular lain,"hutan, padang rumput, gurun, dan bahkan air",Yes,
Sparrow,Bertelur, serangga dan biji-bijian,"hutan, sabana, gurun dan lingkungan urban seperti taman dan pekarangan rumah.",No,
Squid,Bertelur,"ikan, udang, krill, dan plankton kecil","laut dalam, laut dangkal, perairan tepi pantai, dan estuari.",Yes,
Squirrel,Melahirkan,"biji-bijian, kacang-kacangan, buah-buahan, bunga, kulit kayu, dan telur burung-burungan","hutan, kawasan perkotaan, taman, dan kebun.",Yes,
Squirrel,Melahirkan,"kacang-kacangan, biji-bijian, buah-buahan, dan terkadang serangga dan binatang kecil.","hutan, taman, daerah pinggiran kota, dan terkadang bahkan kota.",No,
Startfish,Bertelur,"moluska, cacing, krustasea, dan hewan laut kecil lainnya","terumbu karang, pantai berbatu, dan padang lamun.",No,
Swan,Bertelur,"berbagai tanaman air, serangga, dan ikan-ikan kecil","danau, sungai, lahan basah, dan perairan pesisir",No,
Tiger,Melahirkan,"daging rusa, babi, monyet, dan hewan kecil lainnya yang dapat mereka buru di alam liar","hutan tropis, padang rumput, dan rawa-rawa.",Yes,
Turkey,Bertelur,"biji-bijian, kacang-kacangan, buah-buahan, serangga, dan terkadang reptil kecil dan amfibi.","hutan, padang rumput, dan lahan pertanian di Amerika Utara, Meksiko, Amerika Tengah, dan beberapa bagian Amerika Selatan.",No,
Turtle,Bertelur,"tanaman, serangga, ikan, dan hewan kecil lainnya.","lautan, sungai, danau, dan daratan yang dekat dengan sumber air.",No,
Whale,Melahirkan,"krill, plankton, ikan kecil, cumi-cumi, dan organisme laut lainnya","samudra dan lautan di seluruh dunia, dari Arktik hingga wilayah Antartika dan perairan tropis.",No,
Wolf,Melahirkan,"rusa, bison, karibu, dan mamalia kecil seperti tikus dan kelinci.","hutan, tundra, padang rumput, dan gurun.",Yes,
Wombat,Melahirkan,"rumput, akar, kulit kayu, dan daun dari berbagai tumbuhan.","hutan, padang rumput, dan semak belukar.",No,
Woodpecker,Bertelur,"serangga, kacang-kacangan, biji-bijian, dan buah-buahan","hutan, dan daerah di mana mereka dapat menemukan pohon untuk dipatuk.",No,
Zebra,Melahirkan,"rerumputan, daun, dan semak yang ditemukan di habitat tempat mereka tinggal.","padang rumput, sabana, hutan, dan semak belukar di Afrika.",No,
Chameleon ,Bertelur,"serangga, cacing, dan vertebrata kecil seperti kadal, siput, dan burung kecil","hutan hujan hingga gurun, dengan sebagian besar spesies ditemukan di Madagaskar.",No,
Crocodile_Alligator,Bertelur,"ikan, reptil, burung, dan mamalia.","air tawar dan payau seperti rawa, sungai, danau, dan rawa-rawa.",Yes,
Frog,Bertelur,"serangga, hewan kecil, dan bahkan katak lainnya.","hutan, padang rumput, padang pasir, dan lahan basah",No,
Gecko,Bertelur,"serangga, laba-laba, dan invertebrata kecil lainnya.","padang pasir, hutan hujan, dan pemukiman manusia.",No,
Toad,Bertelur dan Melahirkan,"serangga, laba-laba, dan invertebrata kecil lainnya serta beberapa vertebrata kecil.","hutan, padang rumput, padang pasir, dan lahan basah.",No,
Iguana,Bertelur dan Melahirkan,Sayuran,Hutan rimbun,Yes,
Salamander,Bertelur dan melahirkan,"Serangga, cacing , siput, dan hewan kecil lainnya",Air tawar dan hutan lembab,No,
Turtle_tortoise,Bertelur,Sayuran,"Gurun, padang rumput, hutan, rawa, sungai dan laut",No,
Eel,Bertelur,"cacing sutra, bekicot, ikan kecil, dan keong emas","air tawar, seperti sungai, danau, rawa-rawa dan sawah serta menyenangi tempat yang dangkal",Yes,
Nudibranch,Bertelur,"spons, Hydroida, dan Bryozoa","perairan tropis dan juga samudra, dari perairan dangkal maupun dalam.",No,
Sea Urchins,Bertelur,alga pada terumbu karang,pantai atau dasar laut di kedalaman 10m,Yes,
Puffer,Bertelur,"kepiting biru, remis, kerang, udang, siput hidup dan cacing darah",laut dan air tawar pada iklim sedang dan tropis,Yes,
Stingray,Bertelur dan Melahirkan,dasar perairan pantai yang dangkal,dasar perairan pantai yang dangkal,Yes,
Coral,Bertelur,alga yang dihasilkan oleh sinar matahari,"samudra di seluruh dunia, dari perairan dangkal maupun dalam.",Yes,
Fish,Bertelur atau Melahirkan,"jentik-jentik nyamuk, kutu air, cacing sutra, dan artemia","semua perairan yang berukuran besar baik air tawar, air payau, maupun air asin (laut)",Yes & No,
Shrimp,Bertelur,"ganggang, plankton dan partikel tanama",dasar laut ang memiliki campuran lumpur dan pasir,Yes,
Clam,Bertelur,plankton,"perairan pantai yang berlumpur, estuari, mangrove dan padang lamun",No,
Cheetah,Melahirkan,"rusa, kijang, zebra, dan lain sebagainya","semak belukar, padang rumput, sabana, dan gurun sedang hingga panas",Yes,
Fox,Melahirkan,"tikus, vole, kelinci, telur burung, serangga besar dan daging bangkai","hutan, semak-semak dan padang pasir",Yes,
Hyena,Melahirkan,daging,"sabana, padang rumput, hutan, tepi hutan, subgurun, dan pegunungan",Yes,
Lion,Melahirkan,daging,"padang rumput, savana, semak lebat, dan hutan terbuka",Yes,
Tiger,Melahirkan,"babi hutan, rusa, ungags atau ikan",hutan rimba,Yes,
Wolf,Melahirkan,"daging rusa, kambing gunung, kelinci, dan babi hutan","hutan terbuka, sabana dan tanah rawa",Yes,